-DOCSTART- -X- O O
DORFLEX	B-DRUG
cada	O
comprimido	O
contém	O
300	O
mg	O
de	O
dipirona	B-INGREDIENT
monoidratada	I-INGREDIENT
,	O
35	O
mg	O
de	O
citrato	B-INGREDIENT
de	I-INGREDIENT
orfenadrina	I-INGREDIENT
(	O
equivalente	O
a	O
20,4	O
mg	O
de	O
orfenadrina	O
base	O
)	O
e	O
50	O
mg	O
de	O
cafeína	B-INGREDIENT
anidra	O
.	O


-DOCSTART- -X- O O
DORFLEX	B-DRUG
é	O
indicado	O
no	O
alívio	O
da	O
dor	B-USE
associada	O
a	O
contraturas	O
musculares	O
,	O
incluindo	O
dor	B-USE
de	I-USE
cabeça	I-USE
tensional	O
.	O


-DOCSTART- -X- O O
DORFLEX	B-DRUG
possui	O
ação	O
analgésica	B-ACTION
e	O
relaxante	B-ACTION
muscular	I-ACTION
.	O


-DOCSTART- -X- O O
doril	B-DRUG
composição	O
cada	O
comprimido	O
contém	O
:	O
ácido	B-INGREDIENT
acetilsalicílico	I-INGREDIENT
500	O
mg	O
cafeína	B-INGREDIENT
30	O
mg	O


-DOCSTART- -X- O O
doril	B-DRUG
é	O
indicado	O
como	O
analgésico	B-ACTION
e	O
antipirético	B-ACTION
,	O
especia	O
lmente	O
para	O
o	O
tratamento	O
de	O
dores	B-USE
,	O
redução	O
da	O
febre	B-USE
e	O
dor	B-USE
de	I-USE
cabeça	I-USE
.	O


-DOCSTART- -X- O O
doril	B-DRUG
este	O
medicamento	O
é	O
um	O
analgésico	B-ACTION
com	O
ação	O
antipirética	B-ACTION
,	O
portanto	O
,	O
atua	O
aliviando	O
a	O
dor	B-USE
e	O
a	O
febre	B-USE
.	O
por	O
possuir	O
a	O
substância	O
cafeína	O
potencializa	O
a	O
ação	O
analgésica	O
do	O
ácido	O
acetilsalicílico	O
.	O
a	O
cafeína	O
apresenta	O
ainda	O
um	O
efeito	O
estimulante	O
no	O
humor	O
,	O
no	O
estado	O
de	O
alerta	O
e	O
na	O
atenção	O
,	O
promove	O
a	O
constrição	O
(	O
diminuição	O
do	O
calibre	O
)	O
dos	O
vasos	O
sanguíneos	O
do	O
cérebro	O
,	O
o	O
que	O
pode	O
contribuir	O
para	O
o	O
alívio	O
das	O
dores	O
de	O
cabeça	O
.	O


-DOCSTART- -X- O O
aspirina	B-DRUG
apresentações	O
comprimidos	O
contendo	O
500	O
mg	O
de	O
ácido	B-INGREDIENT
acetilsalicílico	I-INGREDIENT
cada	O
.	O


-DOCSTART- -X- O O
aspirina	B-DRUG
está	O
indicada	O
para	O
:	O
o	O
alívio	O
sintomático	O
de	O
dores	B-USE
de	O
intensidade	O
leve	O
a	O
moderada	O
,	O
como	O
dor	B-USE
de	I-USE
cabeça	I-USE
,	O
dor	O
de	O
dente	O
,	O
dor	O
de	O
garganta	O
,	O
dor	O
menstrual	O
,	O
dor	O
muscular	O
,	O
dor	O
nas	O
articulações	O
,	O
dor	O
nas	O
costas	O
,	O
dor	O
da	O
artrite	O
;	O
o	O
alívio	O
sintomático	O
da	O
dor	B-USE
e	O
da	O
febre	B-USE
nos	O
resfriados	B-USE
ou	O
gripes	B-USE


-DOCSTART- -X- O O
aspirina	B-DRUG
contém	O
a	O
substância	O
ativa	O
ácido	B-INGREDIENT
acetilsalicílico	I-INGREDIENT
,	O
que	O
pertence	O
ao	O
grupo	O
de	O
substâncias	O
anti-inflamatórias	B-ACTION
não-esteroides	O
,	O
com	O
propriedades	O
anti-inflamatória	O
(	O
atua	O
na	O
inflamação	O
)	O
